id,name,host_id,host_name,neighbourhood,neighbourhood_group,latitude,longitude,property_type,room_type,price,minimum_nights,last_review,reviews_per_month,City
23683517.0,Gritty Chic River North --- ACME Hotel,176229376,Acme,Neighborhood highlights,Near North Side,41.89251,-87.61617,Room in boutique hotel,Private room,138.0,32,7/23/2023,1.97,Chicago
23684890.0,Spacious Apartment In Safe Neighborhood,160794000,Erick,Neighborhood highlights,Portage Park,41.95565,-87.77319,Entire rental unit,Entire home/apt,77.0,1,2/23/2025,3.9,Chicago
23687181.0,Grey Stone #1,177418403,Tina,Neighborhood highlights,Grand Boulevard,41.81183,-87.61685,Entire rental unit,Entire home/apt,138.0,32,8/8/2021,0.61,Chicago
25006252.0,"Little Italy/UIC 3 bdrm, 2.5 bath Condo",186121450,Brian & Gloriann,Neighborhood highlights,Near West Side,41.86876,-87.65965,Entire rental unit,Entire home/apt,449.0,2,3/9/2025,2.36,Chicago
25011303.0,Tastefully designed 1500 Sq of Homeyness!,46299046,Kath,Neighborhood highlights,Logan Square,41.9159,-87.68878,Entire rental unit,Entire home/apt,191.0,3,3/3/2025,2.51,Chicago
25015036.0,Cozy New w/FREE Parking & TV & WIFI & Laundry,224089876,Dominik,Belmont Cragin,Belmont Cragin,41.9356,-87.78526,Entire rental unit,Entire home/apt,68.0,32,1/9/2025,0.06,Chicago
25015520.0,Urban Comfort in the Heart of Chicago,9973466,Min,Neighborhood highlights,Lake View,41.93684,-87.64743,Entire condo,Entire home/apt,101.0,1,3/10/2025,7.71,Chicago
25055595.0,Avondale Oasis Floor 3,33278570,Catherine,Neighborhood highlights,Avondale,41.93312,-87.71976,Entire rental unit,Entire home/apt,104.0,32,4/5/2024,0.62,Chicago
25055793.0,Modern and Cozy Delight near Downtown,102651174,Kelly,Neighborhood highlights,East Garfield Park,41.8772502,-87.6923243,Entire rental unit,Entire home/apt,142.0,32,11/30/2024,0.32,Chicago
23744056.0,Annex I,16707041,Matthew,Near West Side,Near West Side,41.88555,-87.64192,Entire rental unit,Entire home/apt,138.0,2,9/14/2023,0.48,Chicago
23768638.0,"Cozy 2BR Garden Apt, Steps from Train",13005461,Nathan,Neighborhood highlights,Logan Square,41.91526,-87.68751,Entire rental unit,Entire home/apt,89.0,3,2/27/2025,3.47,Chicago
23799502.0,"Sophisticated, Historic & Comfy Flat near Wrigley!",17035591,Joshua,Neighborhood highlights,Lake View,41.96143,-87.66714,Entire rental unit,Entire home/apt,273.0,2,3/2/2025,3.87,Chicago
23844764.0,1 #11 - 2 Bedroom 1 Bath Condo - McCormick Place,178710732,Annie,Armour Square,Armour Square,41.85313,-87.63256,Entire condo,Entire home/apt,224.0,2,1/2/2025,1.91,Chicago
23850772.0,Immaculate Lakeview Penthouse Condo,179134188,Ryan,Neighborhood highlights,Lake View,41.94232,-87.6699,Entire condo,Entire home/apt,200.0,30,2/8/2025,0.4,Chicago
23874369.0,"Superb 2BR Old Town APT, PRIME LOCATION!(+Parking)",212313279,Nicole And Matt,Neighborhood highlights,Near North Side,41.90881143,-87.63283959,Entire rental unit,Entire home/apt,186.0,2,2/22/2025,3.38,Chicago
25452222.0,19c. Greystone 3 bd/2ba near UChicago Med Center,44418,Kimberli,Neighborhood highlights,Woodlawn,41.77774,-87.59255,Entire condo,Entire home/apt,184.0,2,11/17/2024,1.53,Chicago
25500677.0,Adorable Single Family Home in Logan Square,192444869,Dena,Neighborhood highlights,Logan Square,41.91896,-87.69002,Entire home,Entire home/apt,486.0,3,12/6/2024,0.34,Chicago
25064515.0,Private room twin K2 front,36549783,Jeffrey,Neighborhood highlights,Irving Park,41.962902,-87.735336,Private room in home,Private room,61.0,32,4/15/2023,0.19,Chicago
25069194.0,Maya Garden Suite,4023561,Christopher,Neighborhood highlights,Avondale,41.94308,-87.72137,Entire rental unit,Entire home/apt,97.0,32,3/2/2025,0.47,Chicago
25079342.0,Vintage 2BR Apt & Parking. O’Hare-Wrigley-Downtown,37732228,Marco,Neighborhood highlights,Irving Park,41.94154,-87.73602,Entire condo,Entire home/apt,151.0,2,10/15/2024,0.34,Chicago
25092696.0,Private room twin K2 mid,36549783,Jeffrey,Neighborhood highlights,Irving Park,41.962902,-87.735336,Private room in rental unit,Private room,62.0,32,3/31/2022,0.14,Chicago
25092958.0,Private room queen K2 mid,36549783,Jeffrey,Neighborhood highlights,Irving Park,41.962902,-87.735336,Private room in rental unit,Private room,60.0,32,4/3/2023,0.17,Chicago
25093286.0,Private room queen K2 rear,36549783,Jeffrey,Neighborhood highlights,Irving Park,41.962902,-87.735336,Private room in rental unit,Private room,62.0,32,5/3/2024,0.15,Chicago
25108100.0,CLEAN Cozy Vintage Chicago Apartment near Downtown,188753899,Jeffrey,Neighborhood highlights,West Town,41.90117949,-87.68826781,Entire rental unit,Entire home/apt,87.0,3,12/15/2024,4.88,Chicago
25512227.0,Bucktown's Best Bang for the Buck,154502192,Neil,Neighborhood highlights,Logan Square,41.92098,-87.68216,Entire rental unit,Entire home/apt,105.0,32,10/14/2022,1.67,Chicago
25544119.0,2 Bedrooms 1 Bathroom near  University of Chicago,192671734,Hasan,Neighborhood highlights,South Shore,41.76665,-87.58659,Entire rental unit,Entire home/apt,129.0,32,6/7/2022,0.32,Chicago
25555626.0,"Amazing Modern Condo, *3 BED & *2BATH in CHICAGO!!",28777472,Mitesh,Neighborhood highlights,Irving Park,41.95701,-87.6982,Entire condo,Entire home/apt,159.0,32,11/5/2024,1.5,Chicago
25633413.0,BuckTown/WickerPark,191156752,John,Neighborhood highlights,West Town,41.90828,-87.67331,Entire home,Entire home/apt,215.0,32,6/2/2019,0.01,Chicago
25674914.0,In artistic Pilsen~Continental Breakfast~Near DWTN,193285418,Amelia,Neighborhood highlights,Near West Side,41.86014,-87.65944,Entire rental unit,Entire home/apt,110.0,3,2/17/2025,2.56,Chicago
25682427.0,711 The Penthouse,193316326,Sameer,Neighborhood highlights,West Town,41.89565,-87.65181,Entire condo,Entire home/apt,996.0,2,12/26/2024,1.68,Chicago
25687574.0,Modern Chicago Home Away from Home,168443062,Jessica,Bridgeport,Bridgeport,41.84473,-87.63945,Entire guesthouse,Entire home/apt,158.0,2,12/26/2024,1.27,Chicago
25714121.0,B6-6- Next to Downtown Tiny Private Room,109075524,Lynn,Neighborhood highlights,Near West Side,41.87572,-87.67888,Private room in home,Private room,28.0,2,1/28/2025,1.06,Chicago
25738384.0,Gorgeous Vintage home steps to Logan Sq Blue line,52552724,Edward,Neighborhood highlights,Avondale,41.93212948,-87.70867864,Entire home,Entire home/apt,138.0,2,9/22/2024,0.17,Chicago
25167438.0,Cool and Modern Chicago Apartment near Transit,2069798,Afsha,Neighborhood highlights,Irving Park,41.959209,-87.712916,Entire rental unit,Entire home/apt,133.0,2,2/23/2025,2.81,Chicago
25179364.0,Spacious Bi-Level Apartment With Patio and Garage,19645168,Brandon,Lake View,Lake View,41.95097,-87.67327,Entire rental unit,Entire home/apt,348.0,2,10/15/2024,1.79,Chicago
25179867.0,Beautiful and Relaxing Wrigleyville Apartment,19645168,Brandon,Neighborhood highlights,Lake View,41.94586,-87.65865,Entire rental unit,Entire home/apt,177.0,32,1/5/2025,2.33,Chicago
25185122.0,perfect corporate rental,31669178,Donna,Neighborhood highlights,Hegewisch,41.65634,-87.5375,Entire home,Entire home/apt,201.0,32,11/6/2023,0.07,Chicago
25185506.0,B2 - Next To Downtown Chicago - Room,109075524,Lynn,Neighborhood highlights,Near West Side,41.87633,-87.67921,Private room in home,Private room,34.0,2,2/24/2025,3.68,Chicago
25186495.0,B3 - Chicago Next to Downtown - Room,109075524,Lynn,Neighborhood highlights,Near West Side,41.87772,-87.67912,Private room in home,Private room,37.0,2,2/24/2025,3.35,Chicago
25191782.0,Chicago Living: Your Home Away From Home,190349436,Helen,Neighborhood highlights,Douglas,41.83682,-87.61674,Entire guest suite,Entire home/apt,156.0,2,1/1/2025,2.42,Chicago
25226706.0,2F ⬖ Modern Apt with Sunny Deck. Dogs stay free! ⬗,2010015,Martin,Neighborhood highlights,Avondale,41.9345,-87.72006,Entire condo,Entire home/apt,116.0,32,11/7/2024,0.55,Chicago
25232674.0,Large 12 Bedroom Chicago Home- Sleeps 25,190646459,Michael,Avondale,Avondale,41.93926,-87.72058,Entire home,Entire home/apt,615.0,2,11/20/2024,1.68,Chicago
25770575.0,The Woodlawn Grey  - Large 3bd/3ba Apt by UChicago,57327044,Latrice,Neighborhood highlights,Woodlawn,41.77962,-87.60265,Entire rental unit,Entire home/apt,138.0,2,2/22/2025,1.3,Chicago
25802231.0,Designer 3br with Balcony & Elevator on Clark!,192743804,Fenton,Neighborhood highlights,Uptown,41.96232,-87.665762,Entire rental unit,Entire home/apt,138.0,2,2/23/2025,3.0,Chicago
25808833.0,"Penthouse Level, Stunning Wrigley Stay",42518018,M J,Neighborhood highlights,Lake View,41.94472,-87.65031,Entire condo,Entire home/apt,210.0,2,1/19/2025,1.35,Chicago
25861262.0,"Avondale Gem: 2BR, Stylish Kitchen, Transit Nearby",194299805,Shaun,Neighborhood highlights,Avondale,41.934468,-87.718435,Entire rental unit,Entire home/apt,70.0,1,2/23/2025,3.67,Chicago
25892484.0,Chicago’s Dickens Place a trendy centralized flat,77183388,Al And Mary,Neighborhood highlights,Logan Square,41.91915,-87.71338,Entire townhouse,Entire home/apt,130.0,3,1/20/2025,2.36,Chicago
25894475.0,The Banksy-Greystone Rooftop Firepit United Center,36760167,Robert,Neighborhood highlights,Near West Side,41.87691,-87.68536,Entire rental unit,Entire home/apt,127.0,2,12/27/2024,3.44,Chicago
25895701.0,Whole apartment! 2 Bed/2 bath steps from Wrigley!!,2471877,Michael,Neighborhood highlights,Lake View,41.94739,-87.65251,Entire home,Entire home/apt,268.0,2,3/10/2025,1.38,Chicago
25920781.0,Near 606 Trail | Free Garage Parking | W&D |LUXTEL,130502086,Yolanda,Neighborhood highlights,Hermosa,41.91392,-87.72579,Entire rental unit,Entire home/apt,138.0,1,11/10/2024,1.84,Chicago
